net,length_um
_0333_,14.8µm
_0112_,14.78µm
_0181_,14.78µm
_0248_,14.76µm
_0258_,14.76µm
net295,14.76µm
_0304_,14.72µm
_1066_,14.72µm
_0281_,14.62µm
_0957_,14.62µm
_0440_,14.58µm
_0343_,14.54µm
_0372_,14.54µm
_0186_,14.5µm
_0860_,14.43µm
_0421_,14.4µm
_0005_,14.38µm
_0538_,14.32µm
_0279_,14.26µm
_0026_,14.24µm
_0049_,14.2µm
_0098_,14.2µm
_0222_,14.12µm
_1057_,14.12µm
_0399_,14.04µm
des_data[54],13.98µm
_0118_,13.96µm
_1100_,13.96µm
_0461_,13.88µm
net326,13.86µm
des_data[62],13.52µm
_0167_,13.5µm
_0560_,13.5µm
_0647_,13.48µm
_0449_,13.44µm
_0782_,13.42µm
_1011_,13.42µm
_0413_,13.28µm
des_data[24],13.28µm
_0879_,13.24µm
_1061_,13.22µm
_0439_,13.16µm
_1008_,13.14µm
_0735_,13.12µm
_0199_,13.02µm
_0441_,13µm
_0464_,12.96µm
_0171_,12.94µm
_0988_,12.94µm
des_decipher_en,12.86µm
_0308_,12.74µm
_0656_,12.74µm
_0382_,12.7µm
_0331_,12.66µm
_0352_,12.62µm
_1074_,12.62µm
_1048_,12.52µm
des_data[17],12.5µm
des_data[53],12.5µm
des_data[52],12.48µm
_0994_,12.44µm
_0452_,12.42µm
des_key_in[23],12.41µm
_0825_,12.4µm
_0142_,12.39µm
_0400_,12.36µm
_0168_,12.28µm
_0183_,12.22µm
_0583_,12.22µm
_0074_,12.16µm
_0740_,12.16µm
_0056_,12.085µm
_0503_,12.08µm
_0102_,12.065µm
_0228_,12.04µm
_0873_,12.04µm
des_data[28],12.04µm
des_data[38],12.04µm
des_data[40],12.04µm
des_key_in[25],12.04µm
_0699_,11.98µm
des_data[25],11.9µm
des_key_in[57],11.9µm
_0935_,11.84µm
_0471_,11.82µm
_0678_,11.79µm
_0146_,11.78µm
_1038_,11.78µm
_0041_,11.745µm
_0032_,11.705µm
_0060_,11.705µm
_0078_,11.7µm
des_data[22],11.68µm
_0820_,11.58µm
des_data[39],11.58µm
des_data[41],11.58µm
des_data[49],11.58µm
_0348_,11.52µm
_0780_,11.48µm
_0939_,11.48µm
des_data[55],11.48µm
_0940_,11.44µm
des_key_in[41],11.44µm
_0332_,11.38µm
_0680_,11.38µm
_0942_,11.36µm
_0023_,11.325µm
_0351_,11.24µm
_1041_,11.24µm
k16_calculation,11.24µm
des_data[63],11.22µm
des_encipher_en,11.22µm
_1062_,11.2µm
_0931_,11.18µm
_0073_,11.16µm
_0485_,11.14µm
_0273_,11.12µm
des_data[16],11.12µm
des_data[48],11.12µm
des_data[57],11.12µm
net28,11.04µm
_0066_,11.02µm
des_key_in[15],11.02µm
des_key_in[28],11.02µm
des_key_in[4],11.02µm
des_key_in[7],11.02µm
desc_result[28],11.02µm
_0149_,10.98µm
_0296_,10.98µm
_0091_,10.945µm
_0019_,10.9µm
_0859_,10.9µm
_0095_,10.82µm
_0278_,10.8µm
_0872_,10.78µm
desc_result[63],10.78µm
_0818_,10.74µm
_0962_,10.68µm
des_data[6],10.66µm
des_data[7],10.66µm
des_data[8],10.66µm
_0055_,10.64µm
_0303_,10.6µm
_0406_,10.6µm
_0238_,10.58µm
_0337_,10.56µm
_0995_,10.5µm
_0072_,10.465µm
